churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,40,no,no,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0
No,61,no,no,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2
Yes,120,yes,no,0,179.9,72,30.58,170.0,98,14.45,190.6,89,8.58,13.8,2,3.73,1
No,95,no,no,0,183.4,98,31.18,281.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1
No,98,no,no,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0.0,0,0.0,0
No,114,no,no,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2
Yes,68,yes,yes,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1
No,149,no,yes,20,264.4,102,44.95,219.6,123,18.67,200.4,89,9.02,11.3,3,3.05,2
No,22,no,no,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0
No,176,no,no,0,169.5,151,28.82,112.9,84,9.6,56.6,99,2.55,8.7,4,2.35,0
No,152,no,no,0,141.5,102,24.06,263.0,94,22.36,207.1,113,9.32,3.4,4,0.92,2
No,118,no,no,0,154.8,71,26.32,244.0,73,20.74,159.6,81,7.18,12.8,4,3.46,0
No,101,yes,no,0,133.5,51,22.7,219.6,96,18.67,210.0,74,9.45,11.7,4,3.16,1
Yes,102,no,no,0,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54,2
No,118,no,no,0,224.6,94,38.18,225.9,120,19.2,269.0,105,12.11,12.5,8,3.38,2
Yes,105,no,no,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2
Yes,153,no,no,0,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73,1
No,71,no,no,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0
No,71,no,yes,31,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54,1
No,68,no,no,0,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54,2
No,66,no,no,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,3
No,101,no,no,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3
No,116,no,no,0,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0
No,54,no,yes,33,161.8,73,27.51,273.0,58,23.21,153.9,76,6.93,13.7,4,3.7,0
No,112,no,yes,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1
No,122,no,yes,45,147.8,85,25.13,147.4,93,12.53,203.5,110,9.16,14.0,5,3.78,1
No,74,no,no,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3
No,90,no,no,0,246.4,83,41.89,160.3,88,13.63,170.9,99,7.69,7.6,7,2.05,1
Yes,112,no,no,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4
No,85,no,no,0,183.4,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67,4
No,100,no,no,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91,1
No,114,no,no,0,187.8,109,31.93,154.6,97,13.14,213.9,102,9.63,10.1,3,2.73,2
No,83,no,no,0,259.7,106,44.15,152.7,116,12.98,224.7,92,10.11,10.2,2,2.75,0
No,157,yes,no,0,180.4,123,30.67,194.0,98,16.49,227.3,88,10.23,8.4,5,2.27,0
No,51,no,no,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2
Yes,42,no,no,0,303.9,106,51.66,232.2,54,19.74,147.1,76,6.62,5.8,3,1.57,1
Yes,101,no,yes,36,123.7,125,21.03,172.6,106,14.67,280.5,127,12.62,8.8,4,2.38,1
No,112,no,no,0,206.2,122,35.05,164.5,94,13.98,140.3,101,6.31,12.6,7,3.4,3
No,56,no,no,0,164.3,92,27.93,233.7,107,19.86,187.3,104,8.43,11.8,1,3.19,2
Yes,53,no,no,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9
No,64,no,yes,22,200.4,80,34.07,131.1,84,11.14,230.7,67,10.38,7.6,5,2.05,1
No,123,no,no,0,154.3,107,26.23,183.0,111,15.56,54.0,134,2.43,10.9,8,2.94,0
No,68,no,yes,30,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2
No,40,yes,no,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73,0
No,132,no,no,0,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0
Yes,120,yes,no,0,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,2
Yes,108,no,yes,32,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46,6
Yes,161,no,no,0,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4,1
Yes,130,no,no,0,212.8,102,36.18,189.8,137,16.13,170.1,105,7.65,10.6,4,2.86,0
No,122,no,no,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0
No,130,no,yes,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2
No,90,no,no,0,125.4,158,21.32,269.1,83,22.87,238.6,103,10.74,11.0,7,2.97,1
No,139,no,yes,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0
No,57,no,no,0,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02,3
No,128,no,no,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4
No,127,yes,no,0,247.5,99,42.08,108.5,118,9.22,232.0,72,10.44,10.6,3,2.86,2
Yes,107,no,no,0,294.9,71,50.13,192.8,78,16.39,148.1,87,6.66,13.2,5,3.56,1
No,177,no,no,0,175.4,99,29.82,155.3,83,13.2,179.4,86,8.07,11.5,3,3.11,1
No,121,no,no,0,179.4,70,30.5,143.0,93,12.16,116.3,113,5.23,11.2,5,3.02,1
No,99,yes,yes,39,126.8,94,21.56,293.6,115,24.96,174.1,91,7.83,8.4,4,2.27,0
Yes,126,yes,no,0,239.7,87,40.75,281.7,92,23.94,183.5,113,8.26,11.4,1,3.08,1
Yes,77,no,yes,33,143.0,101,24.31,212.2,102,18.04,104.9,120,4.72,15.3,4,4.13,5
No,21,no,no,0,91.9,109,15.62,198.4,111,16.86,171.7,125,7.73,13.0,7,3.51,2
No,56,no,no,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1
Yes,92,no,yes,29,201.3,130,34.22,203.7,115,17.31,129.9,113,5.85,6.4,6,1.73,1
No,81,no,no,0,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48,2
Yes,139,yes,yes,31,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1
No,68,no,no,0,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1
No,183,no,yes,8,86.5,119,14.71,285.2,97,24.24,180.4,133,8.12,8.7,2,2.35,2
No,90,no,no,0,109.9,102,18.68,220.8,114,18.77,104.0,133,4.68,10.9,6,2.94,0
No,165,no,no,0,156.0,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51,1
Yes,89,no,no,0,326.3,112,55.47,165.1,110,14.03,162.9,97,7.33,7.5,1,2.03,1
No,59,no,no,0,195.0,58,33.15,198.5,88,16.87,304.3,110,13.69,14.8,9,4.0,0
No,16,yes,no,0,110.0,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73,0
Yes,114,no,no,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5
No,113,no,no,0,156.0,141,26.52,256.8,72,21.83,175.3,123,7.89,11.9,5,3.21,2
No,120,no,no,0,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2
No,115,no,no,0,210.6,120,35.8,153.1,84,13.01,262.2,79,11.8,11.0,5,2.97,0
Yes,37,no,no,0,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4,2
Yes,100,yes,no,0,159.9,94,27.18,179.9,95,15.29,154.4,102,6.95,11.6,2,3.13,2
Yes,132,no,no,0,197.8,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94,4
No,38,no,yes,36,115.4,98,19.62,166.2,83,14.13,184.7,79,8.31,15.2,6,4.1,2
No,1,no,no,0,123.8,113,21.05,236.2,77,20.08,73.2,81,3.29,3.7,2,1.0,0
No,97,no,yes,15,117.6,97,19.99,196.3,126,16.69,157.4,113,7.08,6.4,3,1.73,1
No,55,no,yes,28,105.3,82,17.9,197.4,109,16.78,187.5,91,8.44,8.6,6,2.32,2
No,75,no,no,0,111.7,121,18.99,237.3,119,20.17,253.5,110,11.41,13.1,6,3.54,1
No,83,no,no,0,159.3,104,27.08,202.3,98,17.2,229.0,73,10.31,9.5,3,2.57,2
Yes,40,no,no,0,81.7,123,13.89,210.2,108,17.87,212.0,64,9.54,11.3,3,3.05,6
No,101,no,yes,21,238.0,88,40.46,209.6,84,17.82,233.0,95,10.49,10.0,5,2.7,2
No,120,no,yes,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0
No,183,no,yes,31,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75,1
Yes,75,no,no,0,109.0,88,18.53,259.3,120,22.04,182.1,119,8.19,13.3,3,3.59,4
No,80,no,no,0,220.0,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27,2
No,88,no,no,0,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0
No,112,no,yes,23,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78,1
No,63,no,no,0,207.6,96,35.29,229.0,112,19.47,162.6,131,7.32,13.3,2,3.59,1
Yes,105,no,yes,31,109.6,108,18.63,249.3,119,21.19,321.2,101,14.45,8.3,4,2.24,4
No,92,no,no,0,197.2,113,33.52,242.3,116,20.6,192.0,76,8.64,11.0,5,2.97,2
No,177,no,no,0,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94,1
No,118,no,no,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7.0,6,1.89,0
No,111,no,yes,13,193.1,104,32.83,111.6,98,9.49,227.4,94,10.23,12.1,4,3.27,1
No,82,no,yes,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27,3
No,74,no,no,0,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11.0,5,2.97,0
No,121,no,yes,31,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,9.7,4,2.62,5
No,131,no,no,0,197.0,79,33.49,201.0,114,17.09,151.2,111,6.8,11.6,5,3.13,1
No,125,no,no,0,169.3,90,28.78,156.0,138,13.26,210.8,106,9.49,11.6,6,3.13,2
No,19,no,no,0,201.5,123,34.26,129.2,110,10.98,220.6,98,9.93,12.9,4,3.48,1
No,138,no,no,0,251.0,119,42.67,91.2,96,7.75,142.2,87,6.4,13.8,3,3.73,3
No,119,no,no,0,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,7.6,6,2.05,3
No,137,no,no,0,109.8,120,18.67,230.5,86,19.59,255.8,103,11.51,11.9,6,3.21,1
Yes,182,no,no,0,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89,2
No,135,no,no,0,173.4,107,29.48,222.0,84,18.87,64.2,94,2.89,13.7,6,3.7,1
No,134,no,yes,38,214.4,93,36.45,211.7,57,17.99,165.0,79,7.43,10.0,8,2.7,1
No,45,no,no,0,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62,1
No,129,no,no,0,101.4,145,17.24,249.1,116,21.17,157.6,107,7.09,7.1,6,1.92,1
No,142,no,no,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81,4
No,130,no,yes,45,174.5,120,29.67,217.5,95,18.49,220.3,67,9.91,12.2,2,3.29,1
No,163,no,yes,23,224.0,126,38.08,233.5,89,19.85,293.9,104,13.23,8.8,4,2.38,1
No,105,no,no,0,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97,4
No,119,no,no,0,109.2,96,18.56,153.1,80,13.01,240.0,102,10.8,9.8,5,2.65,2
No,78,no,no,0,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0
No,92,no,no,0,181.4,98,30.84,164.5,98,13.98,171.0,110,7.69,10.9,4,2.94,2
No,146,no,yes,11,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73,2
No,125,no,yes,32,96.5,109,16.41,145.8,109,12.39,174.4,82,7.85,9.4,2,2.54,1
No,88,no,no,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24,3
No,83,no,yes,38,107.9,90,18.34,140.4,94,11.93,253.6,79,11.41,10.5,2,2.84,0
No,3,yes,no,0,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1
Yes,152,yes,yes,41,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16,1
No,48,no,no,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,3
No,189,no,no,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51,3
No,95,no,yes,23,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2.0,0
Yes,129,no,no,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1
No,66,no,yes,40,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,0
No,80,no,yes,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0
No,1,no,no,0,175.2,74,29.78,151.7,79,12.89,230.5,109,10.37,5.3,3,1.43,1
No,84,no,no,0,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,1
No,96,no,no,0,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,1
No,123,no,yes,34,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1
Yes,116,yes,yes,29,162.3,91,27.59,279.3,79,23.74,192.7,131,8.67,11.7,2,3.16,3
No,105,yes,no,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3
No,80,no,no,0,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05,1
No,157,no,no,0,240.2,67,40.83,153.0,98,13.01,249.0,72,11.21,10.2,6,2.75,2
No,67,no,yes,30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,2
No,141,no,yes,39,116.9,127,19.87,276.5,88,23.5,289.9,125,13.05,12.3,2,3.32,0
No,79,no,yes,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12.0,4,3.24,1
No,76,no,no,0,173.2,93,29.44,131.2,80,11.15,170.9,104,7.69,5.4,3,1.46,0
No,111,no,no,0,152.2,114,25.87,137.2,102,11.66,185.9,97,8.37,9.8,3,2.65,0
No,94,no,no,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,0
Yes,143,no,no,0,167.8,72,28.53,211.0,99,17.94,153.5,109,6.91,10.5,6,2.84,4
No,109,no,no,0,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,9,2.65,1
No,138,no,no,0,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65,2
No,73,no,no,0,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,8.5,6,2.3,0
Yes,21,no,no,0,92.6,95,15.74,161.9,70,13.76,285.0,78,12.83,11.3,3,3.05,5
No,148,no,yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1
No,103,no,no,0,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,1
No,143,no,yes,22,141.8,116,24.11,167.3,99,14.22,178.1,130,8.01,7.8,3,2.11,1
No,79,no,yes,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2
No,89,no,no,0,134.9,59,22.93,156.0,152,13.26,197.5,112,8.89,10.2,5,2.75,1
No,120,no,no,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,13.8,3,3.73,1
No,121,no,yes,41,215.5,95,36.64,241.8,92,20.55,147.0,108,6.61,9.6,3,2.59,1
No,101,no,no,0,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,0
No,115,no,no,0,178.7,114,30.38,271.0,96,23.04,245.9,94,11.07,16.4,5,4.43,2
No,168,no,no,0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2
No,90,no,no,0,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13.0,1,3.51,1
No,70,no,no,0,147.1,105,25.01,200.0,135,17.0,234.9,65,10.57,12.5,9,3.38,3
No,138,no,no,0,230.1,107,39.12,212.0,120,18.02,174.9,119,7.87,13.2,4,3.56,1
No,43,no,no,0,135.8,125,23.09,163.2,88,13.87,229.8,106,10.34,12.6,3,3.4,0
No,117,no,yes,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,2
No,108,no,no,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,2
No,118,no,no,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2
No,169,no,no,0,147.2,115,25.02,161.9,123,13.76,142.1,103,6.39,7.2,6,1.94,3
No,62,no,yes,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0
No,86,no,no,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2
No,44,no,no,0,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89,0
Yes,111,no,no,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5
No,127,no,yes,19,129.7,115,22.05,160.8,101,13.67,265.0,63,11.93,12.2,3,3.29,2
No,151,yes,no,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,0
No,53,no,no,0,145.1,116,24.67,233.7,82,19.86,208.7,95,9.39,7.9,5,2.13,2
No,15,no,no,0,135.2,101,22.98,152.5,79,12.96,224.8,83,10.12,8.4,5,2.27,2
No,123,no,yes,28,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1
No,137,no,no,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,1
No,106,no,no,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2
No,88,no,no,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3
No,106,no,no,0,235.2,121,39.98,220.6,87,18.75,236.3,91,10.63,11.8,4,3.19,1
No,95,no,no,0,174.0,57,29.58,281.1,118,23.89,197.2,94,8.87,9.7,2,2.62,0
Yes,57,yes,no,0,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0
No,184,no,no,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2
No,109,no,no,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3
No,127,no,no,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,2
No,82,no,no,0,265.2,122,45.08,178.7,102,15.19,174.7,90,7.86,10.7,9,2.89,2
No,180,no,no,0,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73,1
No,174,no,no,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,2
Yes,92,no,no,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2
No,81,no,no,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18.0,2,4.86,1
Yes,125,no,no,0,113.0,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48,2
Yes,119,no,no,0,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0
No,122,no,no,0,215.6,86,36.65,167.8,59,14.26,207.0,67,9.32,6.4,8,1.73,3
No,34,no,no,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14.0,7,3.78,1
Yes,138,yes,yes,28,211.2,117,35.9,312.5,98,26.56,178.0,118,8.01,10.7,2,2.89,3
No,90,no,yes,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1
No,73,no,no,0,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83,2
Yes,19,no,no,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1
No,120,no,yes,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1
No,160,no,no,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3
No,141,no,no,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0
No,90,no,no,0,157.9,72,26.84,234.0,93,19.89,210.0,86,9.45,12.2,5,3.29,2
No,72,no,no,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2
No,117,no,yes,21,153.2,112,26.04,263.3,110,22.38,135.0,85,6.08,11.9,7,3.21,1
No,79,yes,no,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2
No,87,no,no,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1
No,102,no,no,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1
No,49,no,no,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1
No,67,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6
No,107,no,no,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2
No,190,no,no,0,182.2,101,30.97,212.3,95,18.05,233.0,123,10.49,9.3,4,2.51,2
No,118,no,no,0,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2
No,120,no,no,0,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56,0
No,94,no,no,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0
No,115,no,yes,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,1
No,61,no,no,0,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9.0,6,2.43,1
No,143,no,yes,33,141.4,130,24.04,186.4,114,15.84,210.0,111,9.45,7.7,6,2.08,1
No,110,no,no,0,208.0,69,35.36,95.1,94,8.08,178.5,129,8.03,8.0,11,2.16,1
No,104,no,no,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1
No,16,no,no,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1
No,183,no,no,0,108.3,87,18.41,183.6,116,15.61,176.6,109,7.95,13.5,2,3.65,0
No,147,no,no,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2
Yes,58,no,no,0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2
No,102,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3
No,123,no,no,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3
No,64,no,yes,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1
No,103,no,no,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,2
Yes,152,no,no,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1
Yes,124,no,no,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1
No,97,no,no,0,146.0,121,24.82,203.0,141,17.26,151.8,120,6.83,13.3,2,3.59,1
Yes,131,no,no,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1
No,57,no,yes,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3.0,2
No,157,no,no,0,185.1,92,31.47,213.0,85,18.11,196.1,85,8.82,8.5,5,2.3,2
No,194,no,no,0,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0
No,66,no,no,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1
No,155,no,no,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0
Yes,123,no,no,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4
No,116,no,no,0,205.0,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2
No,63,no,no,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1
No,64,no,no,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3
No,96,no,no,0,150.0,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3
No,53,no,no,0,164.1,106,27.9,206.0,56,17.51,194.7,124,8.76,11.4,2,3.08,1
No,105,no,no,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3
No,53,no,yes,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12.0,9,3.24,2
No,101,no,no,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1
No,129,no,yes,30,177.3,95,30.14,211.8,102,18.0,240.2,108,10.81,9.3,7,2.51,3
Yes,122,no,no,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1
No,163,no,no,0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5
No,93,no,no,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0
Yes,115,yes,no,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1
Yes,25,no,no,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1
No,73,no,no,0,122.0,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1
No,120,no,no,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14.0,2,3.78,2
No,196,no,no,0,133.1,80,22.63,206.5,120,17.55,221.6,96,9.97,10.3,8,2.78,1
Yes,97,no,no,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0
No,148,no,no,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1
No,85,no,yes,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1
Yes,86,yes,no,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2
No,78,no,yes,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2
