Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
4124,10274,51744,45301,8718,53960,49219,1340,-3946,-3154,10274,54356,47714,10274,2547,824,764,65564,27993,758,46496,14482,8113,13205,9720,12149,77782,41118
4125,3898,49268,40456,3025,51993,45952,710,-2914,-2618,3898,51852,43003,3898,2466,636,310,74384,38968,308,54336,18845,2911,13260,8793,4593,92505,44018
4127,14741,50327,43093,12149,52341,47420,1936,-3743,-2700,14741,52683,45260,14741,2326,698,1199,66915,30452,1148,46326,13408,11374,13054,9045,18211,87500,35338
4128,9927,54140,46283,8372,56660,50197,1586,-4363,-2974,9927,56760,48651,9927,2568,816,743,58435,32877,723,37800,15010,7868,14264,10201,11687,98507,45769
4129,3930,49606,44104,3289,51773,48042,506,-2756,-2135,3930,52202,46522,3930,2571,782,330,68131,30744,322,47859,14944,3078,12379,9183,4744,73657,37139
4130,5265,55700,44872,4182,56485,48542,968,-3690,-3116,5265,58648,47296,5265,2774,749,399,74393,35159,397,50698,14439,4050,15853,10490,5989,115602,48739
4131,4913,44245,40655,4269,46134,43378,377,-4002,-3102,4913,46391,42428,4913,2137,650,389,55817,27640,373,40180,14980,3717,10326,7744,6086,51153,21615
4132,11824,43850,41111,10570,46078,44058,660,-4056,-2970,11824,46057,43126,11824,2193,752,782,50090,31978,764,33235,15462,9288,9516,7354,15009,41708,20401
4133,8564,46879,41860,7134,49335,45433,863,-3416,-2527,8564,49279,43951,8564,2346,722,679,79645,32873,664,60079,14922,6546,11407,8311,10033,64804,29439
4151,11079,68402,51233,9169,65072,53299,1753,-3145,-2536,11079,71394,53447,11079,2930,800,929,122418,27550,873,90217,9170,8992,21349,12477,12698,135912,45980
4152,28124,67187,50166,22693,66317,53865,5193,-3186,-2539,28124,70352,52618,28124,3043,766,2152,78026,26732,2090,48519,10397,22129,21374,12770,31912,145088,57225
4153,2750,66695,50304,2233,63750,53126,464,-1041,-1205,2750,69837,53046,2750,2928,730,220,99081,26952,221,56686,10867,2226,20452,12222,3133,152491,63737
4154,6338,73797,56604,5285,73578,60304,1176,-4357,-2719,6338,77180,59504,6338,3254,936,476,94752,27194,466,67941,12433,5184,23534,14799,6918,131411,66829
4155,980,95514,51300,668,73964,49415,241,350,-239,980,99984,54414,980,4291,576,81,119985,36219,77,86041,15223,756,38610,15289,1080,251255,68948
4156,2019,72748,50045,1526,67031,53642,466,-2012,-1815,2019,78242,53040,2019,5280,668,145,157591,28014,142,120822,13112,1517,26159,14691,2183,183191,74433
4157,11515,52980,44874,9494,55062,48408,1680,-4035,-2816,11515,55415,46976,11515,2364,707,882,67261,28624,855,45094,12841,9028,14212,9515,13437,108921,46941
4158,2133,53880,46005,1777,55367,49335,285,-2311,-2386,2133,56216,47766,2133,2324,698,155,60107,27445,156,35951,13906,1673,14187,10239,2579,103426,48131
4159,8517,56304,45603,6869,57850,49855,1309,-2738,-2712,8517,58799,47838,8517,2437,714,574,60012,29714,570,37074,11762,6607,15967,10542,9821,126861,53045
4160,11148,61813,46809,8937,63079,50915,1785,-4530,-3559,11148,64515,48648,11148,2626,739,790,68090,26170,781,42624,10985,8589,18785,11509,12533,152904,61870
4161,9539,50830,44238,8211,52725,47455,1083,-3554,-3068,9539,53026,46244,9539,2131,727,743,61110,29410,726,38820,12114,7565,12668,9200,11285,91591,44806
4163,9219,62898,43762,6738,60125,48546,1601,-2224,-1631,9219,66107,46100,9219,2899,610,666,108661,24230,658,86010,11503,6847,20853,10644,10375,183089,54741
4164,8289,59885,46612,6726,61336,50830,1272,-3945,-3134,8289,62708,48976,8289,2772,819,591,204267,32269,594,177561,14453,6439,17680,11414,9306,120814,51554
4165,20854,55695,45502,16737,58035,50003,2968,-3396,-2956,20854,58404,47780,20854,2651,777,1514,68477,27476,1514,46939,12514,16144,15585,10421,23418,114115,52265
4169,9318,72297,48924,7647,65963,50961,1585,-2296,-2129,9318,75718,51554,9318,3316,661,788,84236,22854,731,59112,10292,7288,24801,12527,11686,154596,27118
4170,15565,69924,52988,13367,68433,55936,2691,-4489,-3058,15565,73076,55621,15565,3083,889,1255,85338,22507,1210,56260,10231,12755,21627,13205,18268,112371,46170
4171,10335,97531,60730,8412,86684,62378,2278,-5616,-3684,10335,101757,63930,10335,4082,1029,874,154323,27734,849,105645,11233,8469,36341,16928,11812,170621,61937
4172,2711,61978,51203,2358,63510,54096,405,-6393,-3791,2711,64812,53653,2711,2813,822,188,68458,26884,182,47890,12882,2219,17651,12130,3259,88655,41385
4173,5028,54530,48387,4339,57065,52193,691,-3721,-3190,5028,56897,50388,5028,2340,735,341,60911,22814,335,45392,10111,4012,14376,10822,6025,96859,48167
4174,1590,54109,47546,1405,55109,49906,195,-3277,-2592,1590,56298,49575,1590,2178,734,108,96924,30364,101,79609,12969,1291,13779,10367,1936,75427,41036
4178,14320,57089,46474,11860,59708,50983,2131,-2703,-2061,14320,59572,48607,14320,2430,747,1049,62993,26432,1036,42544,10886,11272,15904,10604,17109,108562,46953
4179,11235,63595,49053,9135,64155,52972,1931,-2469,-2131,11235,66401,51360,11235,2765,790,891,57536,26096,878,34544,10700,8814,19514,12068,13108,136164,59127
4183,1213,47364,36246,871,48578,40179,236,-1190,-344,1213,50002,38324,1213,2517,520,155,69933,26768,158,54053,14051,845,13483,7976,1465,151495,43323
4184,2470,39151,30532,1634,41662,35982,374,-314,270,2470,40755,31752,2470,1562,310,297,47368,19580,280,36332,11463,1474,10365,6310,3273,85069,25126
4205,2251,44596,41228,1863,47404,45368,209,-1513,-1414,2251,46707,42738,2251,2094,614,137,58979,28274,136,41004,10498,1687,10473,8156,2777,70375,34283
4207,27352,47904,41765,22690,49764,45605,3250,-3024,-2597,27352,50407,44006,27352,2424,712,2065,62929,31394,2037,43774,14669,20977,11984,8392,33286,72191,30126
4208,10670,53397,45953,8927,56412,50645,1428,-3811,-3005,10670,56449,48756,10670,2976,978,869,63281,29048,846,46135,13548,8433,14054,10209,12000,77964,38945
4209,23672,51585,43040,20349,53453,46911,2393,-4935,-3829,23672,54543,45610,23672,2905,966,1999,56576,25924,1940,39163,12748,18601,13394,8795,27217,58787,27594
4210,11104,52245,43391,9041,54556,47295,1618,-4070,-3044,11104,55140,45991,11104,2755,876,1038,68322,30938,1016,47363,12828,8632,13947,9307,12689,79757,35854
4211,34522,48982,40425,27622,50723,44474,4456,-3647,-2800,34522,51803,42688,34522,2733,789,3452,71932,30042,3331,50938,13416,26222,12642,8002,40444,76540,31645
4212,16435,63951,42225,11956,59161,47174,2954,-4185,-3382,16435,67643,44882,16435,3549,699,1393,102101,31091,1358,78700,13416,12197,21954,10012,18323,153607,41864
4213,16953,53918,40000,12810,52831,44050,2675,-3211,-2693,16953,56717,42420,16953,2693,708,1848,71196,30314,1806,48884,13208,12520,16268,8835,19231,96648,37526
4214,21632,48950,39267,16851,50723,43695,3084,-3490,-2704,21632,51606,41412,21632,2579,676,2133,67049,32321,2056,44851,14019,15948,13507,8066,25412,84680,30647
4215,26344,44547,36127,20449,45743,40156,3395,-1693,-1729,26344,47217,37780,26344,2574,530,2553,64512,26088,2381,44595,11251,18607,12190,6998,32706,79325,19612
4216,21184,56244,39628,14901,53079,43996,3590,-923,-1632,21184,59493,42125,21184,3097,582,2001,104809,30857,1916,83953,13454,15262,18294,8788,24241,147165,38212
4217,26040,56092,35816,18437,48828,37756,4305,-587,-1454,26040,59320,37851,26040,2969,418,2551,94368,26603,2375,65864,12290,17675,20364,7997,31863,139303,17171
4218,20853,56862,39854,15197,52671,43151,3737,-2235,-1645,20853,60614,42457,20853,3616,667,2300,95454,28620,2202,72265,12720,15478,18037,8493,24747,126803,28531
4219,243,51367,33324,151,51231,48926,49,4165,-417,243,53706,36361,243,2139,450,26,75669,31798,26,63035,16945,165,17863,8892,287,71399,26970
4220,19396,52737,40514,14756,53357,44842,3394,-2078,-1940,19396,55763,43154,19396,2914,794,2048,91154,30632,1978,70591,13328,14503,15090,8675,22555,104630,36190
4221,15556,50842,39812,11834,51933,44082,2638,-2452,-2060,15556,53639,41989,15556,2719,825,1767,67164,28125,1720,43051,11444,11687,13964,8159,18323,99897,37199
4223,8449,52696,38826,6188,52101,42716,1501,-1753,-1667,8449,55824,41395,8449,2945,765,1027,77401,31200,1012,53872,12630,6204,15438,8162,9767,123303,41404
4224,3885,52377,40520,3052,51136,43514,620,-3150,-2226,3885,55292,42928,3885,2852,878,481,76936,26360,465,58906,10950,2979,13990,7632,4598,99437,34106
4225,4641,49897,37096,3301,48978,40836,814,-1302,-1434,4641,53140,39179,4641,2949,650,502,83305,24000,488,60547,10545,3343,14634,7415,5551,138974,28743
4226,19859,49485,38991,14793,51110,43327,2926,-2846,-2277,19859,52362,41368,19859,2688,646,2013,76102,29292,1938,52159,11990,14313,14050,8306,22198,101763,32651
4227,11505,50396,40352,9303,51865,44273,1486,-4143,-3414,11505,53086,42896,11505,2648,786,1190,58181,26330,1150,36655,11370,8646,13735,8338,13242,69374,28704
4228,3287,54473,39764,2337,54177,42601,704,-1659,-1956,3287,57425,41776,3287,2804,661,431,66919,32232,415,43531,15637,2387,16668,9315,3694,116424,42264
4230,341,40377,28498,172,56356,47678,127,-4016,-836,341,43270,31020,341,2158,447,21,46633,27641,19,37157,15960,213,14717,6990,310,121057,39077
4270,2223,51977,43924,1748,54969,48379,350,-2537,-2663,2223,54626,46099,2223,2552,725,246,106803,33890,236,90552,16408,1696,14053,9805,2617,90155,43101
4271,1090,47108,37000,747,53360,43574,183,-2672,-1861,1090,49768,38844,1090,2445,498,168,63239,31246,163,42304,14271,755,13575,8048,1364,137138,42024
4272,3093,49059,35223,1945,52591,43176,569,-1027,-1063,3093,52361,36986,3093,2418,451,433,59799,27600,432,38257,11472,2053,15263,8757,3367,152497,52492
4275,1968,46719,38387,1463,50375,42933,341,-1424,-1744,1968,49327,40509,1968,2471,661,235,68882,30712,227,56964,17804,1407,12805,8650,2270,115211,43866
4280,8854,51542,44562,7349,55030,49400,1267,-4096,-3013,8854,54328,47230,8854,2735,827,729,66953,32630,729,47929,17445,6970,13130,9652,10423,78831,43391
4285,9770,48633,40380,7788,50928,45454,1302,-2777,-2094,9770,51251,42698,9770,2470,714,876,76457,29703,860,63258,17171,7244,13262,8612,11539,88629,41025
4287,358,39763,32630,246,43259,39632,52,1488,1602,358,42143,34666,358,2081,474,68,56841,21426,67,49931,19110,233,10893,7354,425,96268,37717
4300,28639,52784,46760,25354,55224,50448,3255,-5161,-3880,28639,55202,48952,28639,2380,843,1908,57162,29059,1873,38313,13552,23063,13292,9905,33498,72943,35445
4301,13127,46146,43122,11631,48343,46617,849,-4297,-3236,13127,48386,45172,13127,2212,724,874,54529,31924,854,36935,15578,10323,10548,8350,16044,55356,25137
4303,1439,42647,40071,1214,46513,44442,115,-3205,-2203,1439,44528,41653,1439,1833,550,99,53045,30524,99,37712,13715,1055,9961,7695,2143,52706,18860
4304,7820,45706,41656,6659,47890,45755,696,-3399,-2662,7820,47754,43508,7820,2025,616,479,60321,24460,466,41119,12104,5968,10770,8194,9972,79705,33233
4305,30882,48952,43961,26429,51544,47804,3348,-3138,-2434,30882,51160,45854,30882,2171,765,1829,60456,25069,1793,43328,13493,23925,12065,9191,37561,93203,40822
4306,18918,54574,46376,15624,57502,51408,3132,-3645,-2504,18918,57221,48640,18918,2536,816,1565,73489,28458,1562,55202,17120,14581,15148,10985,21780,119001,58061
4307,886,44331,37381,664,50184,45235,122,-1836,-668,886,46927,40412,886,2254,650,92,84037,31876,92,78020,31870,601,12372,9040,1005,102225,45673
4309,1585,43495,35473,1164,47984,41437,212,186,78,1585,45876,37615,1585,1918,495,169,56264,28587,170,47901,21299,1082,11729,7718,1780,106176,47506
4310,3114,41173,35239,2251,46074,41284,434,116,-80,3114,43391,36891,3114,1853,412,381,76315,27548,376,66375,20124,2078,11232,7668,3485,115919,50054
4311,4603,43963,38411,3624,48125,44097,554,-2881,-1753,4603,46411,40348,4603,2198,627,381,74431,28735,384,61613,22584,3286,11185,8244,5578,73091,33548
4312,1202,42365,34031,848,48832,42266,171,-13,-280,1202,45049,36597,1202,2247,522,121,83110,30738,122,75748,25124,754,13066,8048,1447,106416,43903
4313,984,37039,31086,670,44869,38191,151,-613,-952,984,39727,32840,984,2041,385,167,64208,28751,164,60353,21480,609,10163,5912,1192,102159,38030
4340,2662,44178,38166,2112,49859,45264,330,-2353,-1318,2662,46597,40566,2662,2173,703,289,41324,20209,283,39725,22127,1863,11704,8761,3078,102708,49581
4341,6736,45818,40260,5457,49866,45596,822,-3172,-2238,6736,48302,42172,6736,2347,653,575,63637,30117,576,49432,18390,4880,11820,8603,8027,78769,37512
4342,1275,43307,36754,983,45637,41356,175,-603,-836,1275,45544,38801,1275,1986,545,107,70074,33846,109,53258,17244,907,11124,7223,1468,81473,33486
4343,6471,39016,32904,5355,39658,34362,690,-1642,-789,6471,40842,34256,6471,1667,334,448,88285,33295,440,77019,20520,4212,10313,7077,7529,77319,18482
4344,1311,43939,38493,1007,49241,44828,184,-2212,-2328,1311,46455,39905,1311,2111,502,117,56249,30000,121,48511,23358,925,11645,8550,1478,85420,38908
4346,477,49037,41357,391,52345,46542,73,-3259,-1708,477,52046,43803,477,2492,762,46,82943,27904,45,61713,10106,358,12649,8743,548,115214,50746
4347,657,43231,37974,500,47043,44337,100,-2280,0,657,45091,39387,657,1733,440,72,53393,20845,71,43972,14614,460,11419,8665,749,85257,37811
4350,58271,51977,42642,47289,52259,46075,8267,-2325,-1908,58271,54588,44827,58271,2471,713,4152,82779,23024,4067,60611,12642,44175,14384,9228,66874,121942,42286
4352,16165,51885,43175,12701,56025,49166,2606,-3158,-2078,16165,54744,45504,16165,2549,771,1380,70505,22734,1381,56503,17259,11959,14902,10490,17575,128730,58997
4353,262,36314,30450,177,52244,44970,31,944,-1356,262,38860,31534,262,2119,326,40,45043,23098,39,43389,29834,157,11184,6258,245,97674,54926
4354,586,44234,39416,464,51202,46588,78,-2658,-1994,586,46903,42560,586,2322,565,61,33367,20389,62,33406,19352,414,11692,8713,665,93289,42738
4355,1256,36784,30580,827,45293,38890,168,-937,-549,1256,38961,31794,1256,1927,438,168,49628,21807,162,50709,21327,757,9890,6465,1435,101510,41049
4356,2850,43850,36604,2127,48422,42351,433,-2330,-900,2850,47182,38737,2850,2660,590,253,62906,24761,264,56479,25876,1935,12529,7801,3030,106660,40898
4357,1491,41709,35783,1119,48151,41724,200,-2886,-1859,1491,44829,37822,1491,2553,521,125,58125,28920,127,51315,23434,998,11773,7961,1656,84484,34412
4358,1193,46464,38805,925,51303,44416,142,-669,-1502,1193,49766,41600,1193,2656,683,111,58764,17292,113,50508,11220,848,13155,8465,1270,113321,45752
4359,689,41868,38201,514,49721,44160,85,-536,-644,689,44706,40592,689,2110,550,86,52400,22656,86,49567,20756,471,11524,7958,756,82446,38014
4360,422,37836,32586,288,47767,43708,83,652,-141,422,41020,34048,422,2726,392,61,63462,28356,61,68848,35967,258,11044,8859,418,98024,41347
4361,1348,36866,28843,868,43992,40245,164,721,-860,1348,39775,31953,1348,2292,362,169,86769,22783,174,81386,22959,808,10973,7085,1416,94057,37659
4362,1305,38410,32543,906,44174,38662,194,764,243,1305,41921,34642,1305,2283,477,185,74310,29358,191,65330,25554,816,11020,7080,1399,101001,41179
4363,426,46572,38348,313,48652,43595,66,-1074,-451,426,50323,41375,426,3269,757,61,58010,23284,59,59627,35018,303,13916,8329,453,111792,46491
4364,204,55808,46604,126,44395,41510,34,-36,279,204,67703,55888,204,4582,416,14,64109,52102,14,58175,50127,144,18380,13556,212,148169,41102
4365,200,34362,29120,135,43059,41559,23,-1746,-740,200,36581,30790,200,2060,390,38,32370,14990,35,34441,11314,120,8631,6534,245,89497,27266
4370,9562,40551,35799,7361,44957,41211,1300,285,-565,9562,43012,37618,9562,2189,540,848,62570,25286,849,54809,19541,6555,10373,7007,10984,93599,38027
4371,442,35033,30006,301,46150,41969,67,-1909,-1121,442,37671,31983,442,2028,478,68,52200,24522,69,52020,19342,270,9739,6711,458,108230,53876
4372,81,34770,31447,55,36928,36683,8,1048,3693,81,37184,34572,81,1314,358,9,130803,55000,9,116185,28815,53,6568,4575,89,121567,52621
4373,567,36317,31365,412,41000,37202,75,-325,97,567,40568,33306,567,2078,405,75,97414,30624,74,98592,30846,360,9902,5437,635,83000,36634
4374,214,37110,31993,145,48112,41327,27,-1474,902,214,40578,34664,214,2426,502,32,38970,23352,32,36420,32257,125,10997,7300,240,102657,41928
4375,129,34588,25000,88,31800,25779,10,2750,1395,129,36623,26169,129,2013,150,20,214047,27462,19,214696,27894,72,10650,5335,156,76929,15535
4376,178,30957,24059,140,30671,26126,19,1590,-105,178,33940,24250,178,2918,288,6,45470,24388,5,61234,57358,96,8469,5028,252,56849,8539
4377,351,32023,28249,233,36614,33174,45,1055,758,351,34707,30043,351,2185,290,34,36720,17766,36,32302,16748,194,8646,5914,383,82712,31850
4378,171,29063,29085,129,36723,31836,25,4560,3170,171,32601,30191,171,2682,377,12,58939,24328,12,45989,15328,101,9506,5959,199,79321,22948
4380,4561,35821,29872,3432,37483,32060,636,1980,364,4561,37977,31417,4561,1897,377,446,66208,25817,437,57735,18040,2810,9266,5571,5469,95054,26861
4381,283,35252,30752,202,39438,35212,37,-191,-394,283,37453,33464,283,2019,419,34,29444,16478,34,30930,11045,182,8068,4599,335,90746,27097
4382,334,34725,28946,237,35823,30908,51,-2023,-1131,334,36990,30264,334,2184,300,37,38282,29836,37,40139,30437,198,8404,5819,363,145314,42842
4383,411,31849,29506,348,31824,29942,35,184,-275,411,33391,31247,411,1486,305,28,35032,19054,29,27296,12566,267,6106,3956,520,46926,5846
4385,617,36637,32974,425,47611,42301,73,1213,-301,617,40169,34797,617,2500,473,74,126730,38051,76,113382,23072,368,11519,8020,677,77931,35729
4387,691,36809,32078,537,41741,37498,98,-320,-152,691,39797,34418,691,2164,605,82,81348,23904,81,80213,22599,465,9092,5513,801,77057,31753
4388,213,31032,25462,132,41591,34012,24,5148,2038,213,37728,28443,213,2726,300,23,65385,13127,22,60461,11249,111,9265,5879,239,64188,26170
4390,4286,46174,39488,3284,46997,42548,624,-885,-982,4286,50814,42040,4286,2944,683,424,74421,30394,405,65732,15801,3125,12955,8346,4705,114415,38103
4400,1025,51914,42272,861,50946,48302,141,-1590,-998,1025,54277,44061,1025,2336,825,69,47733,18332,66,37405,17848,798,14514,8746,1189,73934,40700
4401,3012,44602,41891,2394,51252,48502,338,-1109,-1168,3012,47861,44536,3012,2259,647,225,80210,27800,230,75200,24332,2186,11502,8884,3557,76896,36259
4402,122,37874,27344,71,50533,39343,22,292,-1440,122,40450,28773,122,1908,302,15,50460,33611,16,47175,26808,71,11450,5356,149,78416,32763
4403,442,42607,36400,281,45933,40825,48,975,1026,442,45480,38188,442,2360,310,47,58418,26332,51,53595,11267,300,11845,8337,447,97894,39048
4404,320,43535,38120,212,44682,44284,43,1332,390,320,47348,42137,320,3223,517,36,125266,34120,36,119534,30434,218,14415,8505,320,97207,48398
4405,8004,50930,42779,6480,53903,47573,1216,-2342,-1553,8004,54092,45120,8004,2644,780,581,79237,30285,576,70623,23335,5994,14217,9443,9180,102619,40326
4406,609,39205,28358,382,47058,38671,80,-2110,-1460,609,45561,33477,609,2301,350,86,78821,32373,88,79928,27581,348,14341,8081,622,112738,37558
4407,334,41529,30402,235,45837,39200,40,-665,150,334,46184,34601,334,3015,447,35,45617,19436,37,38154,21573,207,13065,8524,368,94765,32028
4408,405,32195,28227,258,47966,43509,45,422,1563,405,36068,30656,405,1993,310,71,69622,32410,70,71832,36057,235,9982,7641,408,99169,43874
4410,718,36651,30810,434,46067,39884,81,-1216,-1218,718,41284,34554,718,2931,402,86,89036,27764,86,77865,22452,435,10528,7348,779,103910,40264
4411,187,48474,38357,116,51273,40490,23,-943,-1173,187,53986,42984,187,4410,530,23,67570,11253,23,62362,16797,134,14000,9427,195,177521,43436
4412,148,35932,31736,93,43087,40248,15,537,832,148,39044,35648,148,2284,364,13,56206,38748,14,43748,9241,101,8783,5168,144,77419,30335
4413,4217,55066,44098,3331,60879,51487,717,-3560,-2797,4217,58246,46894,4217,2589,722,408,100753,32006,403,93014,26905,3044,17534,11955,4656,93990,38558
4415,1039,46150,37912,800,51602,42735,159,-848,-1134,1039,48979,40726,1039,2324,500,124,66173,22128,122,68831,24488,733,14091,8622,1200,92440,36153
4416,317,39919,37093,209,51250,45149,51,-962,-1001,317,46432,41323,317,2525,464,48,134614,48686,46,148312,60784,209,12707,8740,334,140539,41132
4417,363,41893,39165,260,47695,45120,45,-2120,0,363,48836,44276,363,2677,610,45,77949,34330,44,59279,28928,270,10421,8599,426,78725,36164
4419,540,34541,33210,312,45799,43898,78,-1930,-1126,540,41120,37596,540,2663,300,113,111253,50170,112,96281,42721,350,9645,6690,537,96345,36502
4420,783,39406,34618,452,42757,40495,93,734,-40,783,44295,39129,783,2655,300,161,138060,33098,163,121972,24748,502,13035,8764,748,100824,38522
4421,996,41959,35368,704,46187,42672,125,-301,-525,996,45378,38738,996,2150,395,100,91296,45579,111,75762,29162,663,11420,8031,1257,70629,24540
4422,289,36412,30741,178,40364,31718,29,-949,-331,289,43817,34608,289,3214,373,36,179752,40726,34,181405,39816,184,10538,6708,307,111493,40178
4424,114,21492,21646,54,41900,31809,17,-1140,1354,114,27683,23404,114,2102,300,21,231440,59529,21,207169,45125,49,10134,5568,104,141959,51304
4425,156,26958,25850,98,41316,37351,23,-1902,0,156,30784,27736,156,1702,295,28,86668,32332,25,97656,47511,85,8000,4872,153,68680,41863
4427,179,30274,26924,103,46254,40219,25,-6446,-1844,179,33090,29044,179,2207,300,33,146487,29621,33,125222,23029,106,9637,6845,199,99932,42262
4428,440,37172,29470,270,49299,40364,59,2387,-103,440,44070,34662,440,2766,357,82,78100,32945,84,71389,33436,275,10808,7689,446,103897,44781
4454,497,37549,31688,294,46519,39449,59,-556,1537,497,42159,34950,497,2439,300,108,90082,27546,105,87444,23268,298,12396,8019,499,108252,37305
4455,5312,52971,46640,4286,57860,51379,826,-1897,-2129,5312,56969,49615,5312,2719,740,607,90930,32670,598,85097,26058,4069,15140,11155,6029,101600,40742
4462,51,23378,25849,23,42518,33035,10,-821,-798,51,26252,26149,51,1949,220,14,78210,52830,14,68496,35698,28,8137,6297,57,99678,34976
4465,775,35424,31218,503,47537,42607,104,-2667,-1847,775,40991,35450,775,2094,334,127,83266,33038,123,65377,27965,464,11624,7713,869,85714,32644
4468,208,29419,25413,114,36280,26646,24,-5700,-2748,208,34647,29064,208,2466,194,39,70732,22748,39,74076,19292,112,10996,6228,210,59566,25782
4470,2053,43804,40731,1711,46508,43955,304,-1911,-1488,2053,47038,43349,2053,2102,712,241,95053,25030,242,79586,14670,1491,11315,8600,2393,80338,34287
4472,793,41463,37215,548,43864,39641,116,-862,-430,793,46690,39932,793,3328,451,146,75073,26948,144,64283,19590,549,11200,7526,928,127128,38713
4477,298,32465,28988,189,40303,35397,40,-2154,-3673,298,42640,35636,298,1960,419,48,131135,46764,49,97103,39514,189,10040,6502,324,73902,36131
4478,294,37130,34947,197,42518,41756,50,193,-1069,294,43336,39370,294,2597,322,56,99164,37176,57,82915,26284,194,9504,7451,330,89106,40503
4480,510,45210,39794,395,48493,45446,91,-1509,-466,510,50436,44565,510,2882,509,91,84905,35173,89,64900,26763,369,11176,9403,581,80577,43315
4481,69,57865,36252,54,47070,39990,9,-2558,-2814,69,68480,42046,69,3130,782,16,256512,44496,17,165778,27091,50,18015,5213,88,69694,32652
4486,412,34860,34162,278,43241,37465,40,-2639,-2104,412,40070,37948,412,3116,454,61,110984,35715,63,105337,19504,272,12592,8358,459,74249,26644
4487,1885,44823,38574,1469,47108,42261,265,-898,-1103,1885,49806,41499,1885,2817,575,212,86544,35318,215,73002,23133,1387,12507,8190,2203,93867,31671
4488,150,34713,28089,94,34061,27392,19,-1234,0,150,40596,34137,150,3242,379,34,113286,45460,35,83389,30105,85,9883,4928,171,63588,26678
4490,711,37165,34721,481,44016,41248,112,854,-234,711,40974,38537,711,2051,492,105,100406,29866,106,88942,17921,476,9589,7069,889,80559,25267
4492,157,54635,53821,128,56574,58012,27,-1217,-1781,157,58066,57697,157,3073,981,24,123935,28088,24,107172,14686,129,12702,11226,174,107760,72101
4494,81,32692,32029,51,34400,33472,12,-2239,-1620,81,40969,38197,81,3653,474,16,109023,64512,17,82777,38214,54,6640,3844,88,102088,34732
4496,187,41448,41664,114,43055,39511,31,881,-910,187,47256,44567,187,3461,432,18,89874,32047,18,76834,35072,120,12459,9269,204,82599,31419
4497,201,31695,26028,116,36869,32700,31,-2213,-1841,201,39013,33019,201,3681,282,30,91033,31058,32,74663,14795,115,9844,5274,205,136149,47233
4498,122,35071,29893,77,40821,40215,34,3355,-2824,122,48968,38398,122,6780,300,12,177183,23282,12,139073,11285,72,13193,7756,132,174332,23360
4500,24096,53686,46220,20500,55498,49752,2922,-4347,-3233,24096,55969,48140,24096,2244,694,1635,60008,28801,1612,40058,12518,19103,14062,9952,27906,100540,48251
4501,3023,47403,42475,2577,50205,46854,298,-2547,-2138,3023,49528,44647,3023,2075,629,216,43799,27241,211,27103,10696,2365,11184,8619,3744,83820,38338
4502,5115,51647,44807,4381,54378,48505,585,-3831,-3226,5115,53780,46847,5115,2117,697,349,51671,27974,336,31692,11800,4044,13168,9372,5997,100788,50112
4503,22747,51681,45033,19647,53642,48950,2314,-3911,-2806,22747,53987,47185,22747,2252,740,1459,50818,24120,1423,34409,11763,18037,13107,9420,26284,87731,40572
4504,10010,53904,46448,8645,56516,50398,1291,-4549,-3303,10010,56450,48672,10010,2494,800,688,69748,28052,678,52165,14938,7898,14198,10564,11340,88839,47023
4505,10776,50104,42549,8801,53129,47267,1540,-3907,-3194,10776,52672,44766,10776,2471,683,773,75437,31684,755,56138,17518,8214,13014,9183,12415,93893,45038
4506,11570,45666,39630,9745,47098,42763,1158,-2778,-3188,11570,47876,41600,11570,2145,595,784,64452,28561,769,46567,14552,8480,11626,7907,13724,71996,29564
4507,8361,45697,34273,5332,49823,40704,1310,-1106,-1658,8361,48012,35947,8361,2206,450,652,76455,27163,640,59085,13038,5354,13707,7512,10002,148123,55164
4508,8900,44739,40034,7504,47187,43501,833,-3209,-2578,8900,46887,42006,8900,2122,676,574,54476,29492,564,37307,13057,6818,10225,7320,11391,60789,28081
4509,15293,57476,48458,13328,60998,53152,1908,-5764,-4460,15293,60207,51128,15293,2678,893,1008,64019,25679,999,42644,12927,12194,15914,11238,16566,79351,40460
4510,22458,44946,37812,18584,45616,41331,2172,-2668,-2314,22458,47141,39691,22458,2137,548,1437,105611,30134,1419,88819,14949,15985,11832,7464,27623,68172,25582
4511,4206,45760,37708,3149,50243,43285,498,-1886,-1719,4206,48162,39660,4206,2314,630,352,62367,27299,350,43972,14316,2941,12148,7652,5005,97224,40966
4512,2108,48895,39810,1666,49895,42278,344,-1522,-2007,2108,51595,41776,2108,2565,588,198,71068,28660,197,51333,18102,1511,13823,9263,2336,97711,43567
4514,3371,47451,39004,2569,51001,44661,511,-2065,-1428,3371,50039,41226,3371,2285,608,381,79792,27806,380,63894,20162,2448,12667,8367,3867,91204,41650
4515,2116,44515,38612,1650,49371,45255,262,-860,-815,2116,47276,40568,2116,2334,528,188,67917,28753,183,64757,26418,1505,11634,8438,2495,89704,32860
